feature,omics_group
rs_SYT9,mRNA
rs_ABCA8,mRNA
rs_CCL19,mRNA
rs_CYP4F22,mRNA
rs_GABBR2,mRNA
rs_F7,mRNA
rs_PI16,mRNA
rs_CCL14,mRNA
rs_CADM3,mRNA
rs_SLC26A3,mRNA
rs_THRSP,mRNA
rs_ELOVL2,mRNA
rs_PTPRT,mRNA
rs_ANKRD30A,mRNA
rs_MMP12,mRNA
rs_ERBB4,mRNA
rs_KCNIP2,mRNA
rs_FXYD1,mRNA
rs_LOC642587,mRNA
rs_ADAMTS15,mRNA
rs_SELP,mRNA
rs_AGR3,mRNA
rs_LOC389033,mRNA
rs_AK5,mRNA
rs_ATP1A2,mRNA
rs_A2ML1,mRNA
rs_VIPR2,mRNA
rs_SMOC1,mRNA
rs_C7,mRNA
rs_TUSC5,mRNA
rs_GP2,mRNA
rs_SCUBE2,mRNA
rs_NAT1,mRNA
rs_COL4A6,mRNA
rs_PRG4,mRNA
rs_TMPRSS3,mRNA
rs_LRG1,mRNA
rs_AQP7,mRNA
rs_CIDEC,mRNA
rs_CYP4Z2P,mRNA
rs_DLX2,mRNA
rs_RNF183,mRNA
rs_CD300LG,mRNA
rs_KLK11,mRNA
rs_AFF3,mRNA
rs_PLP1,mRNA
rs_C1orf64,mRNA
rs_CYP4X1,mRNA
rs_HS6ST3,mRNA
rs_C1orf95,mRNA
rs_HMGCS2,mRNA
rs_LRRC31,mRNA
rs_TTC36,mRNA
rs_SOX11,mRNA
rs_CST4,mRNA
rs_IRX4,mRNA
rs_HPX,mRNA
rs_ANKRD43,mRNA
rs_S100B,mRNA
rs_CA9,mRNA
rs_ADH1B,mRNA
rs_ALDH1L1,mRNA
rs_LOC100271831,mRNA
rs_MMRN1,mRNA
rs_ADH1C,mRNA
rs_SLC6A4,mRNA
rs_RERGL,mRNA
rs_HIF3A,mRNA
rs_CIDEA,mRNA
rs_MRAP,mRNA
rs_CHRDL1,mRNA
rs_C20orf114,mRNA
rs_ACADL,mRNA
rs_AGR2,mRNA
rs_ADCY5,mRNA
rs_SOX10,mRNA
rs_TFF1,mRNA
rs_CASP14,mRNA
rs_DES,mRNA
rs_FSIP1,mRNA
rs_VGLL1,mRNA
rs_IL33,mRNA
rs_CAPN8,mRNA
rs_ADIPOQ,mRNA
rs_DEGS2,mRNA
rs_TPSG1,mRNA
rs_PCDHA10,mRNA
rs_DPYSL5,mRNA
rs_DARC,mRNA
rs_CST2,mRNA
rs_CYP4Z1,mRNA
rs_TNNT3,mRNA
rs_C6,mRNA
rs_PYDC1,mRNA
rs_PLIN1,mRNA
rs_RIMS4,mRNA
rs_PRAME,mRNA
rs_TFAP2B,mRNA
rs_TMEM132C,mRNA
rs_LOC283392,mRNA
rs_ROPN1,mRNA
rs_WNK4,mRNA
rs_ABCC8,mRNA
rs_FABP4,mRNA
rs_PLCH1,mRNA
rs_CHAD,mRNA
rs_SLC44A4,mRNA
rs_TFF3,mRNA
rs_GPD1,mRNA
rs_MMP1,mRNA
rs_NEK10,mRNA
cn_AQPEP,CNV
cn_MT1M,CNV
cn_SDR42E1,CNV
cn_PSCA,CNV
cn_PART1,CNV
cn_ABCA8,CNV
cn_EFNA5,CNV
cn_TRIM36,CNV
cn_TNFRSF11B,CNV
cn_IRX6,CNV
cn_APLP1,CNV
cn_EDIL3,CNV
cn_GPIHBP1,CNV
cn_HAS3,CNV
cn_RLTPR,CNV
cn_DMRTA1,CNV
cn_KIAA1199,CNV
cn_CYP4F8,CNV
cn_FAM83A,CNV
cn_COL14A1,CNV
cn_S100B,CNV
cn_NCCRP1,CNV
cn_HP,CNV
cn_GATA4,CNV
cn_ZSCAN1,CNV
cn_TOX3,CNV
cn_CYP4F12,CNV
cn_PCSK1,CNV
cn_RGS22,CNV
cn_HAS1,CNV
cn_CLEC3A,CNV
cn_CARTPT,CNV
cn_CDH1,CNV
cn_SH3GL2,CNV
cn_RLN2,CNV
cn_PCDHA1,CNV
cn_FBN2,CNV
cn_MT1G,CNV
cn_TMC3,CNV
cn_ADAMTS19,CNV
cn_OPRK1,CNV
cn_PDE8B,CNV
cn_SLC1A1,CNV
cn_FAM81B,CNV
cn_IL34,CNV
cn_RIMS2,CNV
cn_ARC,CNV
cn_CES3,CNV
cn_SHROOM1,CNV
cn_CDH3,CNV
cn_RUNDC3A,CNV
cn_GSDMC,CNV
cn_C5orf27,CNV
cn_BCAS1,CNV
cn_CHST4,CNV
cn_FAM135B,CNV
cn_ELAVL2,CNV
cn_HAPLN1,CNV
cn_LY6K,CNV
cn_CES1,CNV
cn_RRAD,CNV
cn_ABCC12,CNV
cn_F2RL2,CNV
cn_CKMT2,CNV
cn_CYP4F11,CNV
cn_TSLP,CNV
cn_PKHD1L1,CNV
cn_CELF5,CNV
cn_ABCC11,CNV
cn_CSMD3,CNV
cn_KLK7,CNV
cn_THBS4,CNV
cn_SLC1A2,CNV
cn_CASQ2,CNV
cn_MAPK15,CNV
cn_SLC30A8,CNV
cn_FREM1,CNV
cn_GPR98,CNV
cn_ADAMTS18,CNV
cn_TAT,CNV
cn_BMP7,CNV
cn_GTF2H2B,CNV
cn_NOVA1,CNV
cn_CNTNAP3,CNV
cn_SLC6A2,CNV
cn_PKD1L2,CNV
cn_UCA1,CNV
cn_NCAM2,CNV
cn_CCL17,CNV
cn_COL22A1,CNV
cn_GZMM,CNV
cn_NWD1,CNV
cn_IL6ST,CNV
cn_CYP4F3,CNV
cn_CACNA1B,CNV
cn_SYNM,CNV
cn_FOXD1,CNV
cn_CPAMD8,CNV
cn_HSPB6,CNV
cn_SLC24A2,CNV
cn_ATP10B,CNV
cn_CAPS,CNV
cn_DEFB132,CNV
cn_CDO1,CNV
cn_TCAM1P,CNV
cn_MATN2,CNV
cn_ATP1A3,CNV
cn_BAI1,CNV
cn_B4GALNT3,CNV
cn_CYP24A1,CNV
cn_CALML5,CNV
cn_ABCA10,CNV
cn_PGLYRP2,CNV
cn_MELK,CNV
cn_CHGB,CNV
cn_RYR1,CNV
cn_CBLN1,CNV
cn_EREG,CNV
cn_CALB2,CNV
cn_SYCE1L,CNV
cn_MAG,CNV
cn_TTC22,CNV
cn_ERAP2,CNV
cn_FSTL4,CNV
cn_SLC27A6,CNV
cn_CPNE7,CNV
cn_C8orf47,CNV
cn_MEGF10,CNV
mu_CNTNAP2,Methylation
mu_ODZ1,Methylation
mu_MAP3K1,Methylation
mu_THSD7B,Methylation
mu_PTPRD,Methylation
mu_FAT2,Methylation
mu_PRKDC,Methylation
mu_AHNAK2,Methylation
mu_FAT1,Methylation
mu_CACNA1F,Methylation
mu_SYNE2,Methylation
mu_PRUNE2,Methylation
mu_HEATR7B2,Methylation
mu_MUC4,Methylation
mu_FLNA,Methylation
mu_KIF26B,Methylation
mu_KIF4A,Methylation
mu_CROCC,Methylation
mu_XIRP2,Methylation
mu_VPS13D,Methylation
mu_PTEN,Methylation
mu_MEGF8,Methylation
mu_LRP1B,Methylation
mu_FAM157B,Methylation
mu_SMG1,Methylation
mu_SI,Methylation
mu_DNAH11,Methylation
mu_TCHH,Methylation
mu_MYH7,Methylation
mu_RYR2,Methylation
mu_MYH9,Methylation
mu_DNHD1,Methylation
mu_MYH1,Methylation
mu_SDK1,Methylation
mu_TBP,Methylation
mu_ASH1L,Methylation
mu_CNTRL,Methylation
mu_MAP2K4,Methylation
mu_SPHKAP,Methylation
mu_RP1,Methylation
mu_TP53,Methylation
mu_MGA,Methylation
mu_ATRX,Methylation
mu_RNA5-8SP6,Methylation
mu_GOLGA6L2,Methylation
mu_ADAMTSL1,Methylation
mu_DNAH5,Methylation
mu_F8,Methylation
mu_PAPPA2,Methylation
mu_ANKRD30BL,Methylation
mu_CHD4,Methylation
mu_LAMA2,Methylation
mu_TP53BP1,Methylation
mu_STARD9,Methylation
mu_APOBR,Methylation
mu_FOXA1,Methylation
mu_DST,Methylation
mu_MED12,Methylation
mu_SACS,Methylation
mu_VPS13B,Methylation
mu_DNAH12,Methylation
mu_CHD6,Methylation
mu_ABCA13,Methylation
mu_AKAP13,Methylation
mu_PLXNA4,Methylation
mu_MUC16,Methylation
mu_MLL,Methylation
mu_F5,Methylation
mu_NF1,Methylation
mu_TEX15,Methylation
mu_ODZ4,Methylation
mu_DSCAM,Methylation
mu_MAP2,Methylation
mu_GATA3,Methylation
mu_FCGBP,Methylation
mu_CROCCP2,Methylation
mu_ASXL2,Methylation
mu_LRP1,Methylation
mu_DNAH7,Methylation
mu_CSMD1,Methylation
mu_OBSCN,Methylation
mu_SRCAP,Methylation
mu_CTCF,Methylation
mu_FREM1,Methylation
mu_HSPG2,Methylation
mu_LYST,Methylation
mu_C9orf174,Methylation
mu_ANKRD12,Methylation
mu_SETD2,Methylation
mu_HYDIN,Methylation
mu_RUNX1,Methylation
mu_SYNE1,Methylation
mu_PCLO,Methylation
mu_UBR4,Methylation
mu_PIK3CA,Methylation
mu_MUC5B,Methylation
mu_FRMPD4,Methylation
mu_CDH1,Methylation
mu_ANK3,Methylation
mu_KAT6B,Methylation
mu_NOTCH2,Methylation
mu_DNAH9,Methylation
mu_FBN1,Methylation
mu_OTOGL,Methylation
mu_QSER1,Methylation
mu_MGAM,Methylation
mu_TG,Methylation
mu_EYS,Methylation
mu_FLG,Methylation
mu_PKHD1,Methylation
mu_HUWE1,Methylation
mu_PIWIL1,Methylation
mu_DNAH10,Methylation
mu_MLL2,Methylation
mu_CACNA1D,Methylation
mu_FAT3,Methylation
mu_PREX2,Methylation
mu_TBX3,Methylation
mu_HMCN1,Methylation
mu_MST1P9,Methylation
mu_DNAH2,Methylation
mu_PCDH19,Methylation
mu_GRID1,Methylation
mu_MYO18B,Methylation
mu_PEG3,Methylation
mu_HERC1,Methylation
pp_S6.pS235.S236,Protein
pp_NF2,Protein
pp_JNK.pT183.pY185,Protein
pp_Raptor,Protein
pp_p70S6K.pT389,Protein
pp_IGF1R.pY1135.Y1136,Protein
pp_TFRC,Protein
pp_Chk1,Protein
pp_p53,Protein
pp_PKC.alpha.pS657,Protein
pp_EGFR.pY1173,Protein
pp_HSP70,Protein
pp_MSH6,Protein
pp_Mre11,Protein
pp_STAT3.pY705,Protein
pp_GAPDH,Protein
pp_Caspase.3,Protein
pp_MSH2,Protein
pp_PARP1,Protein
pp_HER2,Protein
pp_PRDX1,Protein
pp_S6,Protein
pp_ENY2,Protein
pp_FASN,Protein
pp_RBM15,Protein
pp_Tuberin,Protein
pp_GSK3.pS9,Protein
pp_B.Raf,Protein
pp_INPP4B,Protein
pp_Rab11,Protein
pp_mTOR,Protein
pp_eIF4G,Protein
pp_p62.LCK.ligand,Protein
pp_Transglutaminase,Protein
pp_Bcl2A1,Protein
pp_PEA15,Protein
pp_Cyclin.B1,Protein
pp_Bid,Protein
pp_JAB1,Protein
pp_CD20,Protein
pp_Chk1.pS345,Protein
pp_XBP1,Protein
pp_Dvl3,Protein
pp_Syk,Protein
pp_PKC.alpha,Protein
pp_BRD4,Protein
pp_YB.1,Protein
pp_X14.3.3.beta,Protein
pp_Bap1.c.4,Protein
pp_MYH11,Protein
pp_Cyclin.E1,Protein
pp_Collagen.VI,Protein
pp_Caveolin.1,Protein
pp_LKB1,Protein
pp_DJ.1,Protein
pp_SF2,Protein
pp_GCN5L2,Protein
pp_Claudin.7,Protein
pp_PTEN,Protein
pp_c.Jun.pS73,Protein
pp_ADAR1,Protein
pp_c.Kit,Protein
pp_N.Cadherin,Protein
pp_Caspase.8,Protein
pp_Src.pY527,Protein
pp_p70S6K,Protein
pp_MEK1,Protein
pp_PI3K.p85,Protein
pp_ER.alpha.pS118,Protein
pp_X4E.BP1.pT70,Protein
pp_beta.Catenin,Protein
pp_p27,Protein
pp_Annexin.VII,Protein
pp_X4E.BP1.pS65,Protein
pp_Myosin.IIa.pS1943,Protein
pp_Smad4,Protein
pp_ER.alpha,Protein
pp_Jak2,Protein
pp_Bcl.2,Protein
pp_CDK1.pY15,Protein
pp_G6PD,Protein
pp_CD26,Protein
pp_SCD,Protein
pp_p38.MAPK,Protein
pp_Beclin,Protein
pp_Src,Protein
pp_AR,Protein
pp_X14.3.3.epsilon,Protein
pp_PR,Protein
pp_ASNS,Protein
pp_Myosin.IIa,Protein
pp_S6.pS240.S244,Protein
pp_PAI.1,Protein
pp_p38.pT180.Y182,Protein
pp_GAB2,Protein
pp_FoxM1,Protein
pp_Smac,Protein
pp_Fibronectin,Protein
pp_X4E.BP1,Protein
pp_SLC1A5,Protein
pp_E.Cadherin,Protein
pp_A.Raf,Protein
pp_ACVRL1,Protein
pp_VEGFR2,Protein
pp_Cyclin.E2,Protein
pp_N.Ras,Protein
pp_eEF2,Protein
