feature,omics_group,prefix
rs_CLEC3A,mRNA,rs_
rs_CPB1,mRNA,rs_
rs_SCGB2A2,mRNA,rs_
rs_SCGB1D2,mRNA,rs_
rs_TFF1,mRNA,rs_
rs_MUCL1,mRNA,rs_
rs_GSTM1,mRNA,rs_
rs_PIP,mRNA,rs_
rs_ADIPOQ,mRNA,rs_
rs_ADH1B,mRNA,rs_
rs_S100A7,mRNA,rs_
rs_HMGCS2,mRNA,rs_
rs_CYP2B7P1,mRNA,rs_
rs_ANKRD30A,mRNA,rs_
rs_PRAME,mRNA,rs_
rs_TAT,mRNA,rs_
rs_SERPINA6,mRNA,rs_
rs_AGR3,mRNA,rs_
rs_TFAP2B,mRNA,rs_
rs_CYP4Z1,mRNA,rs_
rs_DHRS2,mRNA,rs_
rs_KCNJ3,mRNA,rs_
rs_MYBPC1,mRNA,rs_
rs_C4orf7,mRNA,rs_
rs_KRT14,mRNA,rs_
rs_MUC6,mRNA,rs_
rs_UGT2B11,mRNA,rs_
rs_GABRP,mRNA,rs_
rs_SOX10,mRNA,rs_
rs_SLC30A8,mRNA,rs_
rs_STAC2,mRNA,rs_
rs_VSTM2A,mRNA,rs_
rs_COL2A1,mRNA,rs_
rs_KRT5,mRNA,rs_
rs_TUSC5,mRNA,rs_
rs_CEACAM5,mRNA,rs_
rs_CALML5,mRNA,rs_
rs_GP2,mRNA,rs_
rs_GSTT1,mRNA,rs_
rs_LEP,mRNA,rs_
rs_FABP7,mRNA,rs_
rs_C1orf64,mRNA,rs_
rs_CRABP1,mRNA,rs_
rs_FABP4,mRNA,rs_
rs_KRT6B,mRNA,rs_
rs_KLK11,mRNA,rs_
rs_CST9,mRNA,rs_
rs_CST1,mRNA,rs_
rs_PIGR,mRNA,rs_
rs_CIDEC,mRNA,rs_
rs_SYT13,mRNA,rs_
rs_KLK5,mRNA,rs_
rs_OLFM4,mRNA,rs_
rs_HOXB13,mRNA,rs_
rs_LTF,mRNA,rs_
rs_TFF3,mRNA,rs_
rs_MUC5B,mRNA,rs_
rs_BMPR1B,mRNA,rs_
rs_CEACAM6,mRNA,rs_
rs_TCN1,mRNA,rs_
rs_SLC34A2,mRNA,rs_
rs_CRISP3,mRNA,rs_
rs_CLCA2,mRNA,rs_
rs_AGR2,mRNA,rs_
rs_ABCC11,mRNA,rs_
rs_GRIA2,mRNA,rs_
rs_KRT17,mRNA,rs_
rs_NPY1R,mRNA,rs_
