feature,gene_symbol,omics_layer
pp_E.Cadherin,ECadherin,Protein
rs_CIDEA,CIDEA,mRNA
mu_CDH1,CDH1,Methylation
rs_FXYD1,FXYD1,mRNA
pp_beta.Catenin,betaCatenin,Protein
pp_Myosin.IIa.pS1943,MyosinIIapS1943,Protein
pp_AR,AR,Protein
rs_LOC389033,LOC389033,mRNA
rs_AQP7,AQP7,mRNA
cn_PGLYRP2,PGLYRP2,CNV
rs_HPX,HPX,mRNA
rs_SOX10,SOX10,mRNA
pp_eEF2,eEF2,Protein
rs_CD300LG,CD300LG,mRNA
pp_YB.1,YB1,Protein
rs_CCL19,CCL19,mRNA
rs_ACADL,ACADL,mRNA
rs_TMPRSS3,TMPRSS3,mRNA
rs_PTPRT,PTPRT,mRNA
pp_TFRC,TFRC,Protein
pp_X4E.BP1,X4EBP1,Protein
rs_DEGS2,DEGS2,mRNA
rs_VIPR2,VIPR2,mRNA
rs_TNNT3,TNNT3,mRNA
rs_HMGCS2,HMGCS2,mRNA
rs_CASP14,CASP14,mRNA
rs_ANKRD43,ANKRD43,mRNA
rs_ADAMTS15,ADAMTS15,mRNA
cn_PKD1L2,PKD1L2,CNV
pp_p53,p53,Protein
rs_LOC100271831,LOC100271831,mRNA
rs_A2ML1,A2ML1,mRNA
rs_ELOVL2,ELOVL2,mRNA
rs_ADH1C,ADH1C,mRNA
pp_p62.LCK.ligand,p62LCKligand,Protein
rs_TUSC5,TUSC5,mRNA
rs_RERGL,RERGL,mRNA
rs_TFF3,TFF3,mRNA
pp_S6,S6,Protein
rs_NEK10,NEK10,mRNA
rs_WNK4,WNK4,mRNA
rs_ABCC8,ABCC8,mRNA
pp_ACVRL1,ACVRL1,Protein
pp_Cyclin.B1,CyclinB1,Protein
pp_FASN,FASN,Protein
pp_p70S6K,p70S6K,Protein
rs_TPSG1,TPSG1,mRNA
rs_TFAP2B,TFAP2B,mRNA
rs_ROPN1,ROPN1,mRNA
pp_X4E.BP1.pT70,X4EBP1pT70,Protein
pp_Dvl3,Dvl3,Protein
pp_PKC.alpha,PKCalpha,Protein
rs_MMP1,MMP1,mRNA
rs_HS6ST3,HS6ST3,mRNA
rs_PLCH1,PLCH1,mRNA
pp_LKB1,LKB1,Protein
rs_VGLL1,VGLL1,mRNA
rs_LRRC31,LRRC31,mRNA
rs_ATP1A2,ATP1A2,mRNA
rs_SCUBE2,SCUBE2,mRNA
rs_SLC6A4,SLC6A4,mRNA
pp_SLC1A5,SLC1A5,Protein
pp_Bcl2A1,Bcl2A1,Protein
rs_MMP12,MMP12,mRNA
rs_CAPN8,CAPN8,mRNA
rs_AGR2,AGR2,mRNA
pp_PI3K.p85,PI3Kp85,Protein
rs_CADM3,CADM3,mRNA
mu_MUC4,MUC4,Methylation
pp_eIF4G,eIF4G,Protein
rs_F7,F7,mRNA
pp_MSH2,MSH2,Protein
rs_ALDH1L1,ALDH1L1,mRNA
rs_CST2,CST2,mRNA
rs_LOC283392,LOC283392,mRNA
