Fold,LR,SVM,KNN,NB,RF,XGB,LGBM
0,0.8495762711864407,0.8702959444647425,0.7914552736982643,0.7293028322440087,0.8386363636363636,0.9529177718832891,0.9314009661835749
1,0.8050045773573391,0.8602912239275875,0.8142981691368789,0.7433972755073672,0.8997175141242938,0.9058355437665783,0.9058355437665783
2,0.8856682769726247,0.9529177718832891,0.806644880174292,0.8789772727272727,0.9757264957264957,0.9529177718832891,0.9529177718832891
3,0.8587533156498675,0.8702959444647425,0.8139412997903563,0.7679738562091503,0.8997175141242938,0.9058355437665783,0.9271794871794872
4,0.8116710875331565,0.8587533156498675,0.8309523809523809,0.8139412997903563,0.8495762711864407,0.8665413533834586,0.8665413533834586
5,0.8477788132960546,0.8110661268556005,0.8446170921198668,0.7974537037037037,0.9055330634278003,0.9219620958751393,0.9269565217391305
6,0.8491379310344828,0.803921568627451,0.7721219295649601,0.7607952780366574,0.8491379310344828,0.8782608695652174,0.8994252873563219
7,0.8912705809257533,0.9107142857142857,0.8784722222222222,0.7904761904761906,0.9756521739130435,0.9756521739130435,0.9311701081612586
8,0.8727272727272728,0.8214285714285714,0.7974537037037037,0.6978928662096979,0.8110661268556005,0.8582995951417004,0.8582995951417004
9,0.8549866824504291,0.8660714285714286,0.813034188034188,0.7756410256410255,0.8912705809257533,0.8912705809257533,0.9107142857142857
10,0.896832316187155,0.8916692096429661,0.8223519599666389,0.798970398970399,0.9110275689223057,0.9314009661835749,0.9314009661835749
11,0.8116710875331565,0.7645888594164456,0.7293028322440087,0.6777036048064085,0.8786324786324786,0.8116710875331565,0.8399355877616748
12,0.8044077134986225,0.7848484848484849,0.7579545454545454,0.7293028322440087,0.7492937853107344,0.8116710875331565,0.8116710875331565
13,0.9058355437665783,0.9271794871794872,0.896832316187155,0.8555652426620168,0.9529177718832891,0.9555137844611529,0.9555137844611529
14,0.7464285714285714,0.8184143222506394,0.7624195624195624,0.7914552736982643,0.9058355437665783,0.9314009661835749,0.9314009661835749
15,0.8612291135655621,0.8912705809257533,0.8964190588931638,0.7471620227038184,0.9107142857142857,0.9770567027204196,0.934762348555452
16,0.8912705809257533,0.9055330634278003,0.8215802888700086,0.7904761904761906,0.8994252873563219,0.9770567027204196,0.9770567027204196
17,0.8852835136020977,0.8491379310344828,0.837962962962963,0.7280799112097669,0.8994252873563219,0.9269565217391305,0.9497126436781609
18,0.7767857142857143,0.8110661268556005,0.7819314641744548,0.7569444444444444,0.8295652173913044,0.8582995951417004,0.8295652173913044
19,0.8477788132960546,0.9770567027204196,0.8215802888700086,0.8727272727272728,0.9497126436781609,0.8699368264585656,0.8994252873563219
20,0.8309523809523809,0.8856682769726247,0.8223519599666389,0.7702265372168284,0.8786324786324786,0.8856682769726247,0.8856682769726247
21,0.8916692096429661,0.9771336553945249,0.8453159041394336,0.784412955465587,0.9771336553945249,0.9529177718832891,0.9529177718832891
22,0.8399355877616748,0.8495762711864407,0.7828746177370031,0.8116710875331565,0.8997175141242938,0.9314009661835749,0.9529177718832891
23,0.7775689223057645,0.7485242030696576,0.7828746177370031,0.7886904761904762,0.7848484848484849,0.8495762711864407,0.8184143222506394
24,0.8916692096429661,0.9110275689223057,0.8789772727272727,0.7624195624195624,0.9314009661835749,0.9314009661835749,0.9110275689223057
25,0.8727272727272728,0.8295652173913044,0.768976897689769,0.7756410256410255,0.8295652173913044,0.8660714285714286,0.8912705809257533
26,0.8582995951417004,0.8994252873563219,0.8215802888700086,0.8303030303030303,0.9497126436781609,0.9269565217391305,0.9055330634278003
27,0.8784722222222222,0.8852835136020977,0.7904761904761906,0.7819314641744548,0.9055330634278003,0.9055330634278003,0.9055330634278003
28,0.7935103244837758,0.8491379310344828,0.7974537037037037,0.7669256381798002,0.8699368264585656,0.8393969190429367,0.8582995951417004
29,0.8110661268556005,0.8295652173913044,0.8660714285714286,0.7819314641744548,0.8782608695652174,0.8582995951417004,0.8782608695652174
