,Split_1,Split_2,Split_3,Split_4,Split_5
Rank_1,pp_E.Cadherin,pp_E.Cadherin,pp_E.Cadherin,pp_E.Cadherin,pp_E.Cadherin
Rank_2,rs_LOC100271831,mu_CDH1,mu_CDH1,mu_CDH1,rs_LOC100271831
Rank_3,mu_CDH1,rs_HPX,rs_LOC100271831,rs_LOC100271831,mu_CDH1
Rank_4,pp_AR,rs_LOC100271831,rs_MMP1,rs_PLCH1,rs_PLCH1
Rank_5,rs_PLCH1,pp_AR,pp_AR,rs_MMP1,rs_HPX
Rank_6,rs_TMPRSS3,pp_TFRC,rs_ALDH1L1,rs_TMPRSS3,pp_AR
Rank_7,rs_HPX,pp_Dvl3,rs_PLCH1,rs_HMGCS2,rs_CASP14
Rank_8,rs_AGR2,rs_PLCH1,rs_TMPRSS3,rs_HPX,rs_ADH1C
Rank_9,rs_HMGCS2,rs_HMGCS2,pp_beta.Catenin,pp_AR,pp_eEF2
Rank_10,rs_CADM3,rs_SLC6A4,rs_HPX,rs_CADM3,pp_beta.Catenin
Rank_11,rs_MMP1,rs_TMPRSS3,pp_YB.1,rs_ALDH1L1,rs_CADM3
Rank_12,rs_CAPN8,rs_CAPN8,rs_DEGS2,pp_beta.Catenin,rs_TMPRSS3
Rank_13,pp_p53,rs_CASP14,rs_TFF3,pp_p70S6K,rs_MMP1
Rank_14,rs_SLC6A4,rs_MMP1,rs_LOC283392,rs_CST2,rs_ELOVL2
Rank_15,pp_beta.Catenin,rs_ALDH1L1,rs_WNK4,rs_FXYD1,pp_TFRC
Rank_16,rs_VGLL1,rs_VGLL1,rs_ANKRD43,pp_TFRC,rs_ADAMTS15
Rank_17,rs_MMP12,rs_RERGL,rs_VGLL1,pp_p53,rs_HMGCS2
Rank_18,rs_ROPN1,rs_AGR2,rs_AGR2,rs_MMP12,pp_ACVRL1
Rank_19,pp_TFRC,rs_TNNT3,rs_CAPN8,rs_RERGL,rs_AGR2
Rank_20,rs_ALDH1L1,pp_YB.1,rs_FXYD1,pp_YB.1,pp_p53
